opname, reads, writes, args,page,,,,,,,,,,,
addb_AX,ax,ax,ax: ACC  imm: int(8),page 135,,,,,,,,,,,
addb_XARn,xarn,xarn,xarn: card(3)  imm: card(7),page 137,,,,,,,,,,,
cmpb,ax,,ax: ACC  imm: card(8),page 180,,,,,,,,,,,
cmpl_ACC_loc32,ACC src,,src: LOC32,page 181,,,,,,,,,,,
lcr,PC RPC SP,PC SP RPC,imm: card(22),page 220,,,,,,,,,,,
lretr,SP RPC,SP PC RPC,,page 229,,,,,,,,,,,
lsr_AX,ax,ax,ax: ACC  shift: card(4),page 237,,,,,,,,,,,
mov_16bit_loc16,src ,,imm: card(16)  src: LOC16,page 252,,,,,,,,,,,
mov_AX,src,ax,ax: ACC  src: LOC16,page 257,,,,,,,,,,,
mov_loc16_0,,dest,dest: LOC16,page 262,,,,,,,,,,,
mov_loc16_ARn,arn,dest,arn: card(3)  dest:LOC16,page 264,,,,,,,,,,,
mov_loc16_AX,ax,dest,dest: LOC16  ax: ACC,page 265,,,,,,,,,,,
mov_ph_loc16,src,PH,src: LOC16,page 273,,,,,,,,,,,
movb_ACC,,ACC,imm: card(8),page 281,,,,,,,,,,,
movb_AX,,ax,ax: ACC  imm: card(8),page 283,,,,,,,,,,,
movb_XAR6,XAR6,,imm: card(8),page 294,,,,,,,,,,,
movb_XAR7,XAR7,,imm: card(8),page 294,,,,,,,,,,,
movl_loc32_XAR0,XAR0 SP,dest SP,"dest: LOC32) MakeMovlLoc32Xarn(""XAR0""  ""0011 1010 %s""",,,,,,,,,,,,
movl_loc32_XAR1,XAR1 SP,dest SP,"dest: LOC32) MakeMovlLoc32Xarn(""XAR1""  ""1011 0010 %s""",,,,,,,,,,,,
movl_loc32_XAR2,XAR2 SP,dest SP,"dest: LOC32) MakeMovlLoc32Xarn(""XAR2""  ""1010 1010 %s""",,,,,,,,,,,,
movl_loc32_XAR3,XAR3 SP,dest SP,"dest: LOC32) MakeMovlLoc32Xarn(""XAR3""  ""1010 0010 %s""",,,,,,,,,,,,
movl_loc32_XAR4,XAR4 SP,dest SP,"dest: LOC32) MakeMovlLoc32Xarn(""XAR4""  ""1010 1000 %s""",,,,,,,,,,,,
movl_loc32_XAR5,XAR5 SP,dest SP,"dest: LOC32) MakeMovlLoc32Xarn(""XAR5""  ""1010 0000 %s""",,,,,,,,,,,,
movl_loc32_XAR6,XAR6 SP,dest SP,"dest: LOC32) MakeMovlLoc32Xarn(""XAR6""  ""1100 0010 %s""",,,,,,,,,,,,
movl_loc32_XAR7,XAR7 SP,dest SP,"dest: LOC32) MakeMovlLoc32Xarn(""XAR7""  ""1100 0011 %s""",,,,,,,,,,,,
movw,,DP,imm: card(16),page 316,,,,,,,,,,,
movl_XAR0_22bit,,XAR0,"imm: card(22)) MakeMovlXarn22bit(""XAR0""  ""1000 1101 00 %22b""",,,,,,,,,,,,
movl_XAR1_22bit,,XAR1,"imm: card(22)) MakeMovlXarn22bit(""XAR1""  ""1000 1101 01 %22b""",,,,,,,,,,,,
movl_XAR2_22bit,,XAR2,"imm: card(22)) MakeMovlXarn22bit(""XAR2""  ""1000 1101 10 %22b""",,,,,,,,,,,,
movl_XAR3_22bit,,XAR3,"imm: card(22)) MakeMovlXarn22bit(""XAR3""  ""1000 1101 11 %22b""",,,,,,,,,,,,
movl_XAR4_22bit,,XAR4,"imm: card(22)) MakeMovlXarn22bit(""XAR4""  ""1000 1111 00 %22b""",,,,,,,,,,,,
movl_XAR5_22bit,,XAR5,"imm: card(22)) MakeMovlXarn22bit(""XAR5""  ""1000 1111 01 %22b""",,,,,,,,,,,,
movl_XAR6_22bit,,XAR6,"imm: card(22)) MakeMovlXarn22bit(""XAR6""  ""0111 0110 10 %22b""",,,,,,,,,,,,
movl_XAR7_22bit,,XAR7,"imm: card(22)) MakeMovlXarn22bit(""XAR7""  ""0111 0110 11 %22b""",,,,,,,,,,,,
mov_AR_loc16__movz_ARn_0to5,addr,xarn,xarn: card(3)  addr: LOC16,page 256,318,,,,,,,,,,
movz_AR6,src,XAR6,src: LOC16,,,,,,,,,,,,
movz_AR7,src,XAR7,src: LOC16,,,,,,,,,,,,
nop,,arpn,arpn: LOC32,page 339,,,,,,,,,,,
sb,ST0 PC,PC,offset: int(8)  cond: COND,page 399,,,,,,,,,,,
subb_ACC,,ACC,src: card(8),page 420,,,,,,,,,,,
subb_XARn,,xarn,xarn: card(3)  imm: card(7),page 422. catches dc02, ADDB must be implemented,,,,,,,,,,
subu,src,ACC,src: LOC16,page 433,,,,,,,,,,,
aborti,,,,page 124,,,,,,,,,,,
abs_ACC,ACC,ACC,,page 125,,,,,,,,,,,
abstc_ACC,ACC,ACC,,page 126,,,,,,,,,,,
add_ACC_16bit,ACC,ACC,imm: card(16)  shift: card(4),page 128,,,,,,,,,,,
add_ACC_loc16,ACC src,ACC,src: LOC16,page 129,,,,,,,,,,,
add_acc_loc16_0,ACC src,ACC,src: LOC16,page 130,,,,,,,,,,,
add_acc_loc16_shift,ACC src,ACC,src: LOC16  shift: card(4),,,,,,,,,,,,
add_acc_loc16_shift16,ACC src,ACC,src: LOC16,,,,,,,,,,,,
add_AX_loc16,ax src,ax,ax: ACC  src: LOC16,page 131,,,,,,,,,,,
add_loc16_AX,ax dest,dest,ax: ACC  dest: LOC16,page 132,,,,,,,,,,,
add_loc16_signed,dest,dest,dest: LOC16  imm: int(16),page 133,,,,,,,,,,,
addb_ACC,ACC,ACC,imm: card(8),page 134,,,,,,,,,,,
addb_SP,SP,SP,imm: card(7),page 136,,,,,,,,,,,
addcl_ACC_loc32,ACC src,ACC,src: LOC32,page 138,,,,,,,,,,,
addcu_ACC_loc16,ACC src,src,src: LOC16,page 139,,,,,,,,,,,
addl_ACC_loc32,ACC src,src,src: LOC32,page 140,,,,,,,,,,,
addl_loc32_ACC,ACC dest,dest,dest: LOC32,page 142,,,,,,,,,,,
addu_ACC_loc16,ACC,ACC,src: LOC16,page 143,,,,,,,,,,,
addul_P_loc32,P src,P,src: LOC32,page 144,,,,,,,,,,,
addul_ACC_loc32,ACC src,ACC,src: LOC32,page 145,,,,,,,,,,,
adrk,ARP ,,imm: card(8),page 146,,,,,,,,,,,
and_ACC_16bit,ACC,ACC,shift: card(4)  imm: card(16),page 147,,,,,,,,,,,
and_ACC_16bit_16shift,ACC,ACC,imm: card(16),,,,,,,,,,,,
and_ACC_loc16,ACC loc,ACC,loc: LOC16,page 148,,,,,,,,,,,
and_AX_loc16_16bit,loc,ax,ax: ACC  loc: LOC16  imm: card(16),page 149,,,,,,,,,,,
and_IER,IER,IER,imm: card(16),page 150,,,,,,,,,,,
and_IFR,IFR,IFR,imm: card(16),page 151,,,,,,,,,,,
